dataset collection,dataset short name,dataset title (for humans),description,content notes,keywords,created,creator,department,dataset publisher,dataset short name - old,img,imgcaption,format,sha256sum,licence,usage terms,curator,project name,Date range of content,Digital Asset Register ID,filename,doi,how to use data,isreleased
playbills,pb1,Theatrical playbills from Britain and Ireland.,"264 volumes, PDF format with embedded OCR-derived text. 

The dataset comprises 264 volumes of digitised theatrical playbills published between 1660 – 1902 (mostly 19th century) from England, Scotland, Wales and Ireland. 

Digitised from the British Library's physical collection of over 500 volumes of playbills. The dataset in Portable Document Format (PDF). 

The playbills cover theatres in Bath (Royal), Bristol (Royal), Dublin (Royal), Edinburgh (miscellaneous), Hull (Royal), King's Lynn, Liverpool (Royal), London (Covent Garden, Drury Lane, Lyceum , Princess's, Old Vic, Olympic) , Manchester (Royal), Margate (Royal), Market Drayton, Newcastle-upon-Tyne, Nottingham (Royal and miscellaneous), Plymouth (miscellaneous), Portsmouth, Scarborough, Stafford (Royal), Tyneside (Newcastle upon-Tyne), Windsor (Castle), Wolverhampton and York (Royal), among others.","The 47.4 GB .ZIP file (created using 7-Zip) contains 264 .PDF files. 

Two Microsoft Excel workbook files in .XLSX (2010 version) and .XLS (1997 - 2003 version) format contain metadata about the digitised volumes. 

The British Library shelfmarks are: 
Playbills 1 - 107 
Playbills 109 - 123
Playbills 126, 129, 131
Playbills 134 - 137
Playbills 139 - 143
Playbills 146, 147, 150, 151, 152, 161, 166, 168, 175, 178
Playbills 179 - 187
Playbills 193, 199, 204, 212, 213, 218, 225, 233, 234, 252
Playbills 262 - 264
Playbills 266, 276, 278, 280, 282, 285, 287, 291, 297, 306, 324, 325, 327, 329, 330, 348, 358
Playbills 400 - 404
Playbills 406 - 410
Playbills 412 - 417
Playbills 420
Playbills 424 - 427
Playbills 429

Playbills 126, 129 and 166 are currently missing.","Singlesheet,Playbill,PDF,pdf,Playbills",2015/01/01,British Library Labs,British Library Labs,British Library,playbills-pdf,playbills-pdf.jpg,"Digitised playbill from the Theatre Royal, Newcastle-upon-Tyne",47.4 GB ZIP file with 264 digitised volumes in PDF format and two files in XLSX and XLS format,,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Tanya Kirk,Single Sheet Digitisation,1602 - 1902,DAR00114,playbills-pdf.zip,10.21250/pb1,,y
playbills,pb2,Theatrical playbills from Britain and Ireland (OCR text only),"OCR-derived text for the playbills, encoded in UTF-8.

The dataset comprises 264 volumes of digitised theatrical playbills published between 1660 – 1902 (mostly 19th century) from England, Scotland, Wales and Ireland. Digitised from the British Library's physical collection of over 500 volumes of playbills. The dataset containes text files (.TXT) in Optical Character Recognition (OCR) format. 

The playbills cover theatres in Bath (Royal), Bristol (Royal), Dublin (Royal), Edinburgh (miscellaneous), Hull (Royal), King's Lynn, Liverpool (Royal), London (Covent Garden, Drury Lane, Lyceum , Princess's, Old Vic, Olympic) , Manchester (Royal), Margate (Royal), Market Drayton, Newcastle-upon-Tyne, Nottingham (Royal and miscellaneous), Plymouth (miscellaneous), Portsmouth, Scarborough, Stafford (Royal), Tyneside (Newcastle upon-Tyne), Windsor (Castle), Wolverhampton and York (Royal), among others.","The 87.6 MB .ZIP file (created using 7-Zip) contains 264 .TXT files derived from OCR using ABBYY FineReader software (2007).

The .TXT files contain plain text in UTF-8 encoding. 

Two Microsoft Excel workbook files in .XLSX (2010 version) and .XLS (1997 - 2003 version) format contain metadata about the digitised volumes. 

The British Library shelfmarks are:
Playbills 1 - 107 
Playbills 109 - 123
Playbills 126,129,131
Playbills 134 - 137
Playbills 139 - 143
Playbills 146, 147, 150, 151, 152, 161, 166, 168, 175, 178
Playbills 179 - 187
Playbills 193, 199, 204, 212, 213, 218, 225, 233, 234, 252
Playbills 262 - 264
Playbills 266, 276, 278, 280, 282, 285, 287, 291, 297, 306, 324, 325, 327, 329, 330, 348, 358
Playbills 400 - 404
Playbills 406 - 410
Playbills 412 - 417
Playbills 420
Playbills 424 - 427
Playbills 429

Playbills 126, 129 and 166 are currently missing.
","Singlesheet,Playbill,OCR,Text, Playbills",2015/01/01,British Library Labs,British Library Labs,British Library,playbills-ocr-text,playbills-ocr-text.jpg,"Digitised playbill from Theatre Royal, Drury Lane (left) and an example of OCR derived text (right)",87.6 MB ZIP file with 264 TXT files and two files in XLSX and XLS format,,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Tanya Kirk,Single Sheet Digitisation,1602 - 1902,DAR00114,playbills-ocr-text.zip,10.21250/pb2,,y
singlesheet,por1,"Portraits of actors, views of theatres and playbills (covering 1750 - 1821 in a single volume)","166pg PDF of collated portraits and views (with OCR-derived text)

The dataset comprises one digitised volume (166 pages) of a collection of portraits of celebrated actors and actresses, views of theatres and playbills, dating 1750 - 1821. The dataset is in Portable Document Format (PDF). ","The 45.9 MB .ZIP file (created using 7-Zip) contains one .PDF file. The 52.7 KB .ZIP file (created using 7-Zip) contains one .TXT file derived from OCR using ABBYY FineReader software (2007).

Two Microsoft Excel workbook files in .XLSX (2010 version) and .XLS  (1997 - 2003) format contain metadata about the digitised volume.

The British Library shelfmark is '1763 a 5'. More information is available on the <a href=""http://explore.bl.uk/primo_library/libweb/action/display.do?tabs=moreTab&ct=display&fn=search&doc=BLL01016661213&indx=3&recIds=BLL01016661213&recIdxs=2&elementId=2&renderMode=poppedOut&displayMode=full&frbrVersion=&dscnt=0&scp.scps=scope%3A%28BLCONTENT%29&frbg=&tab=local_tab&dstmp=1467107853385&srt=rank&mode=Basic&vl(488279563UI0)=any&dum=true&tb=t&vl(freeText0)=1763%20a%205&vid=BLVU1"">catalogue</a> (digital version).","Portraits,Actors,Views,Theatres,Playbills,pdfPDF,",2015/01/01,British Library,British Library Labs,British Library,portraits-views-playbills-pdf,portraits-views-playbills-pdf.jpg,"Interior of the Covent Garden Theatre, opened in 1732 and destroyed by fire in 1808 ","45.9 MB ZIP file with one PDF file and two files in XLSX and XLS format,52.7 KB ZIP file with one TXT file and two files in XLSX and XLS format",,"CC0 1.0 Public Domain,CC0 1.0 Public Domain","https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/",Tanya Kirk,Single Sheet Digitisation,1750 - 1821,DAR00114,"portraits-views-playbills-pdf.zip,portraits-views-playbills-ocr-text.zip",10.21250/por1,,y
singlesheet,por2,"Portraits of actors, views of theatres and playbills (covering 1750 - 1821 in a single volume) OCR derived text.","The dataset comprises one digitised volume (166 pages) of a collection of portraits of celebrated actors and actresses, views of theatres and playbills, dating 1750 - 1821. The dataset contains a text file (.TXT) in Optical Character Recognition (OCR) format. ","The 52.7 KB .ZIP file (created using 7-Zip) contains one .TXT file derived from OCR using ABBYY FineReader software (2007).

The .TXT file contains plain text in UTF-8 format. 

Two Microsoft Excel workbook files in .XLSX (2010 version) and .XLS (1997 - 2003) format contain metadata about the digitised volume.

The British Library shelfmark is '1763 a 5'. More information is available at <a href=""http://explore.bl.uk/primo_library/libweb/action/display.do?tabs=moreTab&ct=display&fn=search&doc=BLL01016661213&indx=3&recIds=BLL01016661213&recIdxs=2&elementId=2&renderMode=poppedOut&displayMode=full&frbrVersion=&dscnt=0&scp.scps=scope%3A%28BLCONTENT%29&frbg=&tab=local_tab&dstmp=1467107853385&srt=rank&mode=Basic&vl(488279563UI0)=any&dum=true&tb=t&vl(freeText0)=1763%20a%205&vid=BLVU1"">catalogue</a> (digital version).","Portraits,Actors,Views,Theatres,Playbills,pdf,PDF,OCR,text",2015/01/01,British Library,British Library Labs,British Library,portraits-views-playbills-ocr-text,portraits-views-playbills-ocr-text.jpg,"Digitised playbill of 1757 from Theatre Royal, Drury Lane (left) and an example of OCR derived text (right) ",52.7 KB ZIP file with one TXT file and two files in XLSX and XLS format,,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Tanya Kirk,Single Sheet Digitisation,1750 - 1821,DAR00115,portraits-views-playbills-ocr-text.zip,,,n
singlesheet,bal1,Volume of Christmas ballads and broadsides. 1750 - 1840.,"110pg PDF of miscellaneous Chrismas ballads and prose broadsides (with OCR-derived text.)


The dataset comprises one digitised volume (110 pages) of a collection of Christmas ballads and prose broadsides chiefly printed in London by J. Pitts between 1750 - 1840. The dataset is in Portable Document Format (PDF). ","The 45.9 MB .ZIP file (created using 7-Zip) contains one .PDF file. The 319 KB .ZIP file (created using 7-Zip) contains one .TXT file derived from OCR using ABBYY FineReader software (2007). The .TXT file contains plain text in UTF-8 encoding.

Two Microsoft Excel workbook files in .XLSX (2010 version) and .XLS (1997 - 2003 version) format contain metadata about the digitised volume.

The British Library shelfmark is '1875.d.5'. More information is available on the <a href=""http://explore.bl.uk/primo_library/libweb/action/display.do?frbrVersion=19&ct=display&fn=search&doc=BLL01000744232"">catalogue</a> (physical version).","Ballads,Prose,Broadsides,Christmas,pdf,PDF",2015/01/01,British Library,British Library Labs,British Library,ballads-broadsides-pdf,ballads-broadsides-pdf.jpg,A copy of verses for the year 1831 presented by Henry Hutchings. The collection is in PDF format.,"188 MB ZIP file with one PDF file and two files in XLSX and XLS format,319 KB ZIP file with one TXT file and two files in XLSX and XLS format",,"CC0 1.0 Public Domain,CC0 1.0 Public Domain","https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/",Tanya Kirk,Single Sheet Digitisation,1750 - 1840,DAR00117,"ballads-broadsides-pdf.zip,ballads-broadsides-ocr-text.zip",10.21250/bal1,,y
singlesheet,bal2,Volume of Christmas ballads and broadsides. 1750 - 1840. OCR derived text.,"The dataset comprises the OCR text derived from one digitised volume (110 pages) of a collection of Christmas ballads and prose broadsides, chiefly printed in London by J. Pitts between 1750 and 1840. The dataset contains a single plain text file.","The 319 KB .ZIP file (created using 7-Zip) contains one .TXT file derived from OCR using ABBYY FineReader software (2007).

The .TXT file contains plain text in UTF-8 format.

Two Microsoft Excel workbook files in .XLSX (2010 version) and .XLS (1997 – 2003 version) format contain metadata about the digitised volume.

The British Library shelfmark '1875.d.5'. More information is available at <a href=""http://explore.bl.uk/primo_library/libweb/action/display.do?frbrVersion=19&ct=display&fn=search&doc=BLL01000744232"">catalogue</a> (physical version).","Ballads,Prose,Broadsides,Christmas,pdf,PDF,OCR,text,",2015/01/01,British Library,British Library Labs,British Library,ballads-broadsides-ocr-text,ballads-broadsides-ocr-text.jpg,An example of OCR derived text on the right from a page of a digitised broadside detailing 'The Newsman's address on the entrance of the year '1590. ,319 KB .ZIP file with one TXT file and two files in XLSX and XLS format,,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Tanya Kirk,Single Sheet Digitisation,1750 - 1840,DAR00118,ballads-broadsides-ocr-text.zip,,,n
singlesheet,tav1,Volumes of signs of taverns in England and Wales. 1628 - 1858.,"The dataset comprises 14 digitised volumes (as PDFs) of a collection of tavern signs in and England and Wales dating 1628 – 1858 (with OCR-derived text.)

Organised in alphabetical order, with printed and manuscript descriptions. The collection was formed by Mr G. Creed.","The 2.82 GB .ZIP file (created using 7-Zip) contains 14 .PDF volumes. The 5.9 MB .ZIP file (created using 7-Zip) contains 14 .TXT files derived from OCR using ABBYY FineReader software (2007).e .TXT files contain plain text in UTF-8 encoding. 

Two Microsoft Excel workbook files in .XLSX (2010 version) and .XLS (1997 – 2003 version) format contain metadata about the digitised volumes.

The British Library shelfmark is '1888.b.6'. More information is available on the <a href=""http://explore.bl.uk/primo_library/libweb/action/display.do?frbrVersion=19&ct=display&fn=search&doc=BLL01000744313"">catalogue</a> (physical version).","Taverns,Pubs,Signs,England,Wales,pdf,PDF",2015/01/01,British Library,British Library Labs,British Library,taverns-signs-pdf,taverns-signs-pdf.jpg,An image of the Clifton Arms Hotel and Tavern at Lythan. The collection is in PDF format.,"2.82 GB ZIP file with 14 PDF volumes and two files in XLSX and XLS format,5.9 MB ZIP file with 14 TXT files and two files in XLSX and XLS format",,"CC0 1.0 Public Domain,CC0 1.0 Public Domain","https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/",Tanya Kirk,Single Sheet Digitisation,1628 - 1858,DAR00120,"taverns-signs-pdf.zip,taverns-signs-ocr-text.zip",10.21250/tav1,,y
singlesheet,tav2,Volumes of signs of taverns in England and Wales. 1628 - 1858. (OCR derived text),"The dataset comprises the OCR text derived from 14 digitised volumes of a collection of tavern signs in and England and Wales dating 1628 – 1858

Organised in alphabetical order, with printed and manuscript descriptions. The collection was formed by Mr G. Creed. The dataset contains 14 plain text files.","The 5.9 MB .ZIP file (created using 7-Zip) contains 14 .TXT files derived from OCR using ABBYY FineReader software (2007).

The .TXT files contain plain text in UTF-8 format. 

Two Microsoft Excel workbook files in .XLSX (2010 version) and .XLS (1997 – 2003 version) format contain metadata about the digitised volumes.

The British Library shelfmark is '1888.b.6'. More information is available at c<a href=""http://explore.bl.uk/primo_library/libweb/action/display.do?frbrVersion=19&ct=display&fn=search&doc=BLL01000744313"">catalogue</a> (physical version).","Taverns,Pubs,Signs,England,Wales,pdf,PDF,OCR,text",2015/01/01,British Library,British Library Labs,British Library,taverns-signs-ocr-text,taverns-signs-ocr-text.jpg,An example of OCR derived text on the right from a digitised page of a 'A New piece played by Mr. Oxberry - as Landlord of the Craven's Head Tavern',5.9 MB ZIP file with 14 TXT files and two files in XLSX and XLS format,,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Tanya Kirk,Single Sheet Digitisation,1628 - 1858,DAR00121,taverns-signs-ocr-text.zip,,,n
singlesheet,ad1,"Volumes of Lysons Collectanea (Amusements), comprising broadsides, cuttings, advertisements on amusements.1660-1840.","The dataset comprises nine digitised volumes of a collection of broadsides, cuttings and advertisements, relating to public exhibitions and places of amusement from 1660 - 1840 (with OCR-derived text.)

Part of the Lysons Collectanea collection. ","The 1.81 GB .ZIP file (created using 7-Zip) contains 9 .PDF volumes. The 5.1 MB .ZIP file (created using 7-Zip) contains nine .TXT files derived from OCR using ABBYY FineReader software (2007). The .TXT file contains plain text in UTF-8 encoding.

Two Microsoft Excel workbook files in .XLSX (2010 version) and .XLS (1997 – 2003 version) format contain metadata about the digitised volumes.

The British Library shelfmark is 'C.103.k.11'. More information is available on the <a href=""http://explore.bl.uk/primo_library/libweb/action/display.do?frbrVersion=19&ct=display&fn=search&doc=BLL01016661219"">catalogue</a> (digital version).","Amusements,Broadsides,Adverts,Newspapers,pdf,PDFs",2015/01/01,British Library,British Library Labs,British Library,ads-c-103-k-11-pdf,advert-pdf.jpg,Advertisement of an event at Spring Gardens. The collection is in PDF format.,"1.2 GB ZIP file with nine PDF files and two files in XLSX and XLS format,5.1 MB ZIP  file with nine TXT files and two files in XLSX and XLS format",,"CC0 1.0 Public Domain,CC0 1.0 Public Domain","https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/",Tanya Kirk,Single Sheet Digitisation,1660 - 1840,DAR00123,"ads-c-103-k-11-pdf.zip,ads-c-103-k-11-ocr-text.zip",10.21250/ad1,,y
singlesheet,ad2,"Volumes of Lysons Collectanea (Amusements), comprising broadsides, cuttings, advertisements on amusements.1660-1840. OCR derived text.","The dataset comprises the OCR text derived from the nine digitised volumes of a collection of broadsides, cuttings and advertisements, relating to public exhibitions and places of amusement from 1660 - 1840. 

Part of the Lysons Collectanea collection. The dataset contains nine plain text files.","The 5.1 MB .ZIP file (created using 7-Zip) contains nine .TXT files derived from OCR using ABBYY FineReader software (2007). 

The .TXT file contains plain text in UTF-8 format. 

Two Microsoft Excel workbook files in .XLSX (2010 version) and .XLS (1997 – 2003 version) format contain metadata about the digitised volume.

The British Library shelfmark is 'C.103.k.11'. More information is available at <a href=""http://explore.bl.uk/primo_library/libweb/action/display.do?frbrVersion=19&ct=display&fn=search&doc=BLL01016661219"">catalogue</a> (digital version).","Amusements,Broadsides,Adverts,Newspapers,pdf,PDFs,OCR,text",2015/01/01,British Library,British Library Labs,British Library,ads-c-103-k-11-ocr-text,advert-ocr-text.jpg,An example of OCR derived text on the right from a digitised page from an advertisement of the 'Rackstrow's Anatomical exhibition',5.1 MB ZIP  file with nine TXT files and two files in XLSX and XLS format,,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Tanya Kirk,Single Sheet Digitisation,1660 - 1840,DAR00124,ads-c-103-k-11-ocr-text.zip,,,n
