page,full title,description,what is this? (this won't go on website)
19cbooks,,,
advertisements,Digitised volumes of advertisements from newspapers.,"The datasets in this collection are based around digitised volumes of collections of advertisements and paragraphs snipped from the newspapers.

We'd also love to hear what you've done or made with the data, so please email us at <a href=ʺmailto:digitalresearch@bl.ukʺ>digitalresearch@bl.uk</a>.  ",Page describing the 'advertsiements' datasets.
ballads-broadsides,Digitised volume of ballads and broadsides between 1750 - 1821.,"The datasets in the this collection are based around 1 digitised volume (110 pages) of ballads and broadsides between 1750 and 1821 chiefly printed in London by J. Pitts between 1750 to 1821.

We'd also love to hear what you've done or made with the data, so please email us at <a href=ʺmailto:digitalresearch@bl.ukʺ>digitalresearch@bl.uk</a>.",Page describing the 'ballads and broadsides' datasets.
digbks,Digitised Books,The following datasets are drawn and derived from our collection of digitised books.,
ethos,EThOS,"EThOS is the UK’s national thesis service which aims to maximise the visibility and availability of the UK’s doctoral research theses.

It demonstrates the quality of UK research, and supports the UK Government’s open access principle that publications resulting from publicly-funded research should be made freely available for all researchers, providing opportunities for further research. EThOS helps institutions to meet the expectation of the UK Research Councils that PhDs supported by a Research Council Training Grant should be made freely available in an open access repository, as indicated in its Training Grant Terms & Conditions (Paragraph 104). 

EThOS aims to provide:

- A national aggregated record of all doctoral theses awarded by UK Higher Education institutions
- Free access to the full text of as many theses as possible for use by all researchers to further their own research.

There are approximately 440,000 records relating to theses awarded by over 120 institutions. Around 160,000 of these also provide access to the full text thesis, either via download from the EThOS database or via links to the institution’s own repository. Of the remaining 240,000 records dating back to at least 1800, three quarters are available to be ordered for scanning through the EThOS digitisation-on-demand facility. ",
henryirving,Digitised volumes of performances connecting Sir Henry Irving.,"The datasets in this collection are based around 17 digtised volumes from a collection, originally collected by Bram Stoker, of programmes of theatrical performances with which Sir Henry Irving was connected: comprising programmes of the Lyceum Theatre from 1879 to 1902; Drury Lane Theatre, 1903 and 1905; Sir Henry Irving's American and Provincial Tours, from 1883 to 1905; and miscellaneous performances, including some given by Royal Command, 1883 to 1903.

We'd also love to hear what you've done or made with the data, so please email us at <a href=ʺmailto:digitalresearch@bl.ukʺ>digitalresearch@bl.uk</a>.  ",Page describing the 'Henry Irving' datasets.
history-brit-museum,"Digitised volumes of cuttings about the history of the British Museum covering antiquities, exterior views, general history and the library. ","The datasets in this collection are based around 4 digitised volumes of a collection of views, cuttings from newspapers and magazines, etc., illustrating the history of the Museum between 1660 and 1825, made by Sir Frederic Madden. The volumes cover antquities, exterior views, general history and the library.

We'd also love to hear what you've done or made with the data, so please email us at <a href=ʺmailto:digitalresearch@bl.ukʺ>digitalresearch@bl.uk</a>.  ",Page describing the 'History of the British Musuem' datasets.
india-office-records,,,
lodbnb,Linked Open British National Bibliography,"The datasets in this collection are linked open data subsets of the British National Bibliography (BNB). The BNB records the publishing activity of the United Kingdom and the Republic of Ireland since the 1950s. It includes metadata for published and forthcoming books as well as serials – whether print or electronic. 

The datasets are also available at http://bnb.data.bl.uk as well as http://bnb.data.bl.uk/sparql

","Page describing the Linked Open BNB
currently names lodbnb at data.bl.uk
"
mainpage,Welcome to the British Library's alpha open data portal.,"As part of its work to open its data to wider use, the British Library is making copies of some of its datasets available for research and creative purposes.

We aim to describe collections in terms of their data format (images, full text, metadata, etc), licences, temporal and geographic scope, originating purpose (e.g. specific digitisation projects or exhibitions) and collection, and related subjects or themes. 

This site is a 'beta', and is in the early stages of development. If you have questions or feedback about this site or our open data work, please email <a href=""mailto:digitalresearch@bl.uk"">digitalresearch@bl.uk</a>. We'd also love to hear what you've done or made with the data.",Text that introduces the data.bl.uk service. Appears at data.bl.uk/
